Name,Test Matches,ODIs,T20s,Innings,Runs,Fours,Sixes,Strike Rate,Highest Score,Average,50s,100s,Wickets,Economy,Date of Match,Runs Conceded,3 Wickets Haul,5 Wickets Haul,Balls
Cricketer_1,55,117,84,61,8775,295,117,57.85220411,52,31.56927816,5,10,170,7.781838556,05-Apr,9072,1,3,8436
Cricketer_2,73,53,126,71,8482,136,72,116.3914438,53,30.03675577,24,8,140,4.497761822,05-Mar,4167,14,4,8184
Cricketer_3,79,113,82,81,3690,194,163,104.4967683,106,35.46124018,8,1,362,5.785951307,05-Jun,1031,14,2,8922
Cricketer_4,155,79,71,123,6573,485,50,68.65327659,68,20.94825775,17,4,249,6.909507391,04-Apr,2412,13,5,8495
Cricketer_5,59,187,165,160,8742,339,92,59.54508436,166,32.41621367,8,4,244,5.124216577,04-Apr,8589,3,4,3139
Cricketer_6,156,117,125,135,9050,292,172,101.0325536,189,33.84156757,21,7,396,6.460657382,03-May,5007,9,1,8112
Cricketer_7,150,187,109,42,1943,342,102,76.2527889,116,25.2659453,12,10,378,4.165796077,05-Mar,3834,15,1,4922
Cricketer_8,84,56,127,131,2522,269,130,74.787976,121,33.55283182,28,5,441,7.138354091,06-May,4558,11,5,3356
Cricketer_9,87,197,150,184,4886,490,93,51.02016217,125,20.93549784,30,3,235,6.699715898,06-May,1826,5,2,7336
Cricketer_10,141,189,87,131,2480,251,67,142.4739739,157,31.62469759,15,1,159,6.272865465,06-May,2393,4,3,7471
Cricketer_11,183,118,128,173,4231,253,52,115.3788642,104,33.83305404,10,7,60,6.846730353,06-Apr,5681,14,1,5429
Cricketer_12,183,73,85,22,8747,375,87,149.5874903,73,21.32814306,10,10,320,6.767547906,06-Apr,3651,4,1,9372
Cricketer_13,178,163,188,184,2653,330,69,72.59670088,163,33.69886369,12,3,183,7.014501576,04-Jun,2187,13,2,6035
Cricketer_14,179,197,136,98,6704,484,100,146.3018737,68,33.96524462,28,9,62,4.8368224,04-Mar,7702,8,4,5307
Cricketer_15,116,127,184,151,9678,449,112,60.15605116,86,39.3120514,10,4,428,4.877102465,05-Apr,2810,7,2,7356
Cricketer_16,142,124,177,161,6550,439,172,75.91384502,105,34.85843846,12,6,185,4.519754295,05-Mar,4809,10,5,6866
Cricketer_17,136,84,71,54,1286,263,198,144.2746158,63,24.2239028,8,4,333,5.913037608,06-Mar,7455,5,5,6724
Cricketer_18,182,94,157,127,3532,111,100,102.9206951,178,25.81485169,13,2,59,5.181753595,03-May,5475,13,3,9738
Cricketer_19,185,128,129,57,3533,500,95,134.5294922,61,30.29183504,16,2,332,6.276841112,03-Apr,6245,9,4,2430
Cricketer_20,145,136,134,134,2387,430,107,113.4285395,148,40.53039318,17,4,94,6.667340487,04-May,1776,12,4,4514
Cricketer_21,105,84,153,172,3155,340,126,149.4740634,175,38.5066725,20,3,58,6.134683681,03-Jun,1467,4,5,3026
Cricketer_22,114,104,96,114,4399,223,191,73.92873014,190,44.69481816,26,6,421,7.795395362,04-Jun,5619,3,5,8121
Cricketer_23,91,144,181,143,7804,382,171,122.3179886,125,46.02800185,5,10,172,7.267711051,06-Mar,8483,13,1,6043
Cricketer_24,121,139,115,93,6977,311,103,126.4259759,112,48.31551744,13,8,376,4.847693153,05-May,7040,13,3,2481
Cricketer_25,176,156,111,144,2857,202,71,138.3619224,155,30.61826835,18,4,215,5.917642697,03-Jun,6768,5,2,5457
Cricketer_26,195,59,167,33,3311,367,162,68.44466381,161,49.02974511,17,1,141,7.637177758,05-Jun,7963,9,2,3074
Cricketer_27,83,131,141,191,2056,261,115,148.7532529,95,21.20850042,22,6,380,4.050486172,04-May,7083,14,3,8028
Cricketer_28,183,63,171,112,8878,267,88,131.2598137,78,22.42115724,17,8,424,4.914361533,06-Mar,8294,1,5,4668
Cricketer_29,152,92,151,137,7466,337,129,122.3928786,119,47.92607948,16,5,446,4.475791372,06-Mar,5869,5,2,6490
Cricketer_30,107,197,62,69,3551,256,109,56.96619966,91,40.14490795,25,7,202,7.425973236,06-Apr,7538,9,3,8472
Cricketer_31,199,187,139,33,8213,297,198,61.64761234,181,45.40967966,25,8,226,6.670970084,05-Apr,6298,12,2,8401
